,Info,Name-PGN-Site,PGN File,NameForJSON,First Name,Last Name,Wiki-FirstName,Wiki Name,Birth Date,Death Date,Year Grandmaster,Country,Wikipedia Page,Name For Wiki Search,Wikipedia Search Link,Wiki Search Results,First Wiki Result,wiki_url,wiki_summary,Wiki Page Title
0,"Michael Adams, 2982 games",Michael Adams,Adams.pgn,Adams,Michael,Adams,Michael,Michael Adams,1971-11-17,,1989-01-01, England,https://en.wikipedia.org/wiki/Michael_Adams_(chess_player),Michael+Adams+chess,https://en.wikipedia.org/w/index.php?search=Michael+Adams+chess,"['Michael Adams', 'Michael Adams (politician)', 'Michael J. Adams', 'Michael Adams (American football)', 'Mick Adams', 'Michael Adams (chess player)', 'Micky Adams', 'Adams (surname)', 'Michael Adams (stunt performer)', 'Grantley Herbert Adams']",Michael Adams,https://en.wikipedia.org/wiki/Michael_Adams_(chess_player),"Michael Adams (born 17 November 1971) is an English chess Grandmaster (1989). His highest ranking is world No. 4, achieved several times from October 2000 to October 2002. His peak Elo rating is 2761.
He has achieved good results in World Chess Championship tournaments. Several times a World Championship Candidate, he reached the semifinals in 1997, 1999 and 2000. At the 2004 FIDE Championship, he reached the final, narrowly losing out to Rustam Kasimdzhanov in the tie-break games.",Michael Adams (chess player)
1,"Varuzhan Akobian, 1115 games",Varuzhan Akobian,Akobian.pgn,Akobian,Varuzhan,Akobian,Varuzhan,Varuzhan Akobian ,1983-11-19,,2004-01-01, United States,https://en.wikipedia.org/wiki/Varuzhan_Akobian,Varuzhan+Akobian+chess,https://en.wikipedia.org/w/index.php?search=Varuzhan+Akobian+chess,"['Varuzhan Akobian', 'Varuzhan', 'Alexander Ivanov (chess player)', 'Hakobyan', '2016 US Chess Championship', 'Darmen Sadvakasov', 'Daniel Naroditsky', 'Chessgames.com', 'Albert Kapengut', 'List of Armenian chess players']",Varuzhan Akobian,https://en.wikipedia.org/wiki/Varuzhan_Akobian,"Varuzhan Akobian (born November 19, 1983 in Yerevan, Armenia) is an Armenian-born American chess grandmaster. Originally from Armenia, he now resides in Los Angeles. He played on the bronze-medal-winning U.S. team in the 2006 and 2008 Chess Olympiads.",Varuzhan Akobian
2,"Vladimir Akopian, 1848 games",Vladimir Akopian,Akopian.pgn,Akopian,Vladimir,Akopian,Vladimir,Vladimir Akopian ,1971-12-07,,1991-01-01, Armenia,https://en.wikipedia.org/wiki/Vladimir_Akopian,Vladimir+Akopian+chess,https://en.wikipedia.org/w/index.php?search=Vladimir+Akopian+chess,"['Vladimir Akopian', 'Vladimir Epishin', 'Hakobyan', 'Gilberto Hernández Guerrero', 'Michael Roiz', 'Vladimir Malaniuk', 'Konstantin Aseev', 'Smbat Lputian', 'Chess World Cup 2007', 'List of Armenian chess players']",Vladimir Akopian,https://en.wikipedia.org/wiki/Vladimir_Akopian,"`Vladimir Akopian (Russian: Владимир Акопян; born December 7, 1971 in Baku, Azerbaijan Soviet Socialist Republic, Soviet Union) is an Armenian chess Grandmaster.",Vladimir Akopian
3,"Lev Alburt, 776 games",Lev Alburt,Alburt.pgn,Alburt,Lev,Alburt,Lev,Lev Alburt ,1945-08-21,,1977-01-01, United States,https://en.wikipedia.org/wiki/Lev_Alburt,Lev+Alburt+chess,https://en.wikipedia.org/w/index.php?search=Lev+Alburt+chess,"['Lev Alburt', 'Roman Pelts', 'Eugene Perelshteyn', 'Lev (given name)', 'ChessCafe.com', 'Tom Wedberg', '1976 in chess', 'Rook (chess)', 'Triangulation (chess)', ""Alekhine's Defence""]",Lev Alburt,https://en.wikipedia.org/wiki/Lev_Alburt,"Lev Osipovich Alburt (born August 21, 1945 in Orenburg, Russia) is a chess Grandmaster and chess writer. He was three-time Ukrainian Champion, and after defecting to the United States in 1979, became three-time U.S. Champion.",Lev Alburt
4,"Alexander Alekhine, 1661 games",Alexander Alekhine,Alekhine.pgn,Alekhine,Alexander,Alekhine,,,,,,,,Alexander+Alekhine+chess,https://en.wikipedia.org/w/index.php?search=Alexander+Alekhine+chess,"['Alexander Alekhine', 'Alekhine Memorial', ""Alekhine's gun"", 'Alekhine (disambiguation)', ""Alekhine's Defence"", 'Grace Alekhine', 'Alexei Alekhine', 'Alekhine Nouri', 'Alexander Evenson', 'World Chess Championship 1927']",Alexander Alekhine,https://en.wikipedia.org/wiki/Alexander_Alekhine,"Alexander Alekhine (Russian: Алекса́ндр Алекса́ндрович Але́хин, Aleksandr Aleksandrovich Alekhin; pronounced [ɐlʲɪkˈsandr ɐlʲɪkˈsandrəvʲɪtɕ ɐˈlʲexʲɪn]; October 31 [O.S. October 19] 1892 – March 24, 1946) was a Russian and French chess player and the fourth World Chess Champion. He is widely considered to be one of the greatest chess players of all time.
By the age of 22, Alekhine was already among the strongest chess players in the world. During the 1920s, he won most of the tournaments in which he played. In 1921, Alekhine left Soviet Russia and emigrated to France, which he represented after 1925. In 1927, he became the fourth World Chess Champion by defeating José Raúl Capablanca.
In the early 1930s, Alekhine dominated tournament play and won two top-class tournaments by large margins. He also played first board for France in five Chess Olympiads, winning individual prizes in each (four medals and a brilliancy prize). Alekhine offered Capablanca a rematch on the same demanding terms that Capablanca had set for him, and negotiations dragged on for years without making much progress. Meanwhile, Alekhine defended his title with ease against Efim Bogoljubov in 1929 and 1934. He was defeated by Max Euwe in 1935, but regained his crown in the 1937 rematch. His tournament record, however, remained uneven, and rising young stars like Paul Keres, Reuben Fine, and Mikhail Botvinnik threatened his title. Negotiations for a title match with Keres or Botvinnik were halted by the outbreak of World War II in Europe in 1939. Negotiations with Botvinnik for a world title match were proceeding in 1946 when Alekhine died in Portugal, in unclear circumstances. Alekhine is the only World Chess Champion to have died while holding the title.
Alekhine is known for his fierce and imaginative attacking style, combined with great positional and endgame skill. He is highly regarded as a chess writer and theoretician, having produced innovations in a wide range of chess openings and having given his name to Alekhine's Defence and several other opening variations. He also composed some endgame studies.",Alexander Alekhine
5,"Evgeny Alekseev, 1698 games",Evgeny Alekseev,Alekseev.pgn,Alekseev,Evgeny,Alekseev,Evgeny,Evgeny Alekseev ,1985-11-28,,2002-01-01, Russia,,Evgeny+Alekseev+chess,https://en.wikipedia.org/w/index.php?search=Evgeny+Alekseev+chess,"['Yevgeny Alekseyev', 'Evgeny Alekseev (chess player)', 'Evgeny Tomashevsky', 'Chess World Cup 2007', 'Leinier Domínguez', 'Konstantin Aseev', 'Sébastien Mazé', 'Constantin Lupulescu', 'Dmitry Jakovenko', '2013 European Individual Chess Championship']",Yevgeny Alekseyev,https://en.wikipedia.org/wiki/Evgeny_Alekseev_(chess_player),"Evgeny Vladimirovich Alekseev (Russian: Евгений Владимирович Алексеев; born 28 November 1985) is a Russian chess grandmaster and Russian champion in 2006. He competed in the FIDE World Chess Championship 2004 and the FIDE World Cup in 2005, 2007, 2009, 2011 and 2013.",Evgeny Alekseev (chess player)
6,"Zoltan Almasi, 1861 games",Zoltan Almasi,Almasi.pgn,Almasi,Zoltan,Almasi,,,,,,,,Zoltan+Almasi+chess,https://en.wikipedia.org/w/index.php?search=Zoltan+Almasi+chess,"['Zoltán Almási', 'Wen Yang (chess player)', 'Hungarian Chess Championship', 'Mircea Pârligras', 'Vlastimil Babula', 'Vadim Milov', 'Bartłomiej Macieja', 'Vladimir Malaniuk', 'FIDE World Chess Championship 1998', 'Love (1971 film)']",Zoltán Almási,https://en.wikipedia.org/wiki/Zolt%C3%A1n_Alm%C3%A1si,"Zoltán Almási (born August 29, 1976) is a Hungarian chess grandmaster. He is an eight-time Hungarian Chess Champion, winning in 1995, 1997, 1999, 2000, 2003, 2006, 2008 and 2009.
Almasi has competed in 11 consecutive Chess Olympiads from 1994 to 2014 earning team silver in 2002 and 2014 as well as individual silver in 2010.
In the FIDE World Chess Championship 2004, he made it to the fourth round where he lost 2–0 to Rustam Kasimdzhanov, the eventual winner of the event.
In 2008 he won the Reggio Emilia tournament in Italy scoring 5½/8.
He crossed the 2700 FIDE rating line in November 2009 (2704).
In 2010, he became European Rapid Champion. He tied with five other players after 13 rounds but won tiebreak matches against Shirov and Gashimov. The next year he won the Sport Accord Mindgames Blindfold section.
In 2013, Almasi won the Capablanca Memorial with 6.5/10.",Zoltán Almási
7,"Viswanathan Anand, 3288 games",Viswanathan Anand,Anand.pgn,Anand,Viswanathan,Anand,Viswanathan,Viswanathan Anand ,1969-12-11,,1988-01-01, India,,Viswanathan+Anand+chess,https://en.wikipedia.org/w/index.php?search=Viswanathan+Anand+chess,"['Viswanathan Anand', 'Viswanathan', 'Amber chess tournament', 'Chess in India', 'Chess World Cup 2002', 'World Rapid Chess Championship', 'Chess World Cup 2000', 'List of chess games between Anand and Kramnik', 'Tata Steel Chess Tournament', '2013 in chess']",Viswanathan Anand,https://en.wikipedia.org/wiki/Viswanathan_Anand,"Viswanathan ""Vishy"" Anand (Tamil : விஸ்வநாதன் ஆனந்த்) (born 11 December 1969) is an Indian chess Grandmaster and a former World Chess Champion.
Anand became India's first grandmaster in 1988. He held the FIDE World Chess Championship from 2000 to 2002. He became the undisputed World Champion in 2007 and defended his title against Vladimir Kramnik in 2008. He then defended his title in the World Chess Championship 2010 against Veselin Topalov and in the World Chess Championship 2012 against Boris Gelfand. In the World Chess Championship 2013 he lost to challenger Magnus Carlsen and he lost again to Carlsen in the World Chess Championship 2014.
In April 2006 Anand became the fourth player in history to pass the 2800 Elo mark on the FIDE rating list, after Garry Kasparov, Vladimir Kramnik and Veselin Topalov. He occupied the number one position for 21 months, the 6th longest on record.
Anand was also the first recipient of the Rajiv Gandhi Khel Ratna Award in 1991–92, India's highest sporting honour. In 2007, he was awarded India's second highest civilian award, the Padma Vibhushan, making him the first sportsperson to receive the award.",Viswanathan Anand
8,"Adolf Anderssen, 681 games",Adolf Anderssen,Anderssen.pgn,Anderssen,Adolf,Anderssen,,,,,,,,Adolf+Anderssen+chess,https://en.wikipedia.org/w/index.php?search=Adolf+Anderssen+chess,"['Adolf Anderssen', 'Anderssen', ""Anderssen's Opening"", 'Jakob Rosanes', 'Louis Eichborn', 'London 1851 chess tournament', 'Adolf', 'Carl Mayet', 'Baden-Baden 1870 chess tournament', 'Carl Göring']",Adolf Anderssen,https://en.wikipedia.org/wiki/Adolf_Anderssen,"Karl Ernst Adolf Anderssen (July 6, 1818 – March 13, 1879) was a German chess master. He is considered to have been the world's leading chess player for much of the 1850s and 1860s. He was quite soundly defeated by Paul Morphy who toured Europe in 1858, but Morphy retired from chess soon after and Anderssen was again considered the leading player.
After his defeat by Steinitz in 1866, Anderssen became the most successful tournament player in Europe, winning over half the events he entered—including the Baden-Baden 1870 chess tournament, one of the strongest tournaments of the era. He achieved most of these successes when he was over the age of 50.
Anderssen is famous even today for his brilliant sacrificial attacking play, particularly in the ""Immortal Game"" (1851) and the ""Evergreen Game"" (1852). He was a very important figure in the development of chess problems, driving forward the transition from the ""Old School"" of problem composition to the elegance and complexity of modern compositions.
He was also one of the most likeable of chess masters and became an ""elder statesman"" of the game, to whom others turned for advice or arbitration.",Adolf Anderssen
9,"Ulf Andersson, 2676 games",Ulf Andersson,Andersson.pgn,Andersson,Ulf,Andersson,Ulf,Ulf Andersson ,1951-06-27,,1972-01-01, Sweden,,Ulf+Andersson+chess,https://en.wikipedia.org/w/index.php?search=Ulf+Andersson+chess,"['Ulf Andersson', 'Ulf', 'Grin (company)', 'Andersson', 'Overkill Software', 'Phillips & Drew Kings', 'Törst (album)', 'Ulf Söderblom', 'Peter Andersson (actor)', 'Nocturnal Rites']",Ulf Andersson,https://en.wikipedia.org/wiki/Ulf_Andersson,"Ulf Andersson (born 27 June 1951 in Västerås, Sweden) is a leading Swedish chess player. FIDE awarded him the International Master title in 1970 and the Grandmaster title in 1972.",Ulf Andersson
10,"Dmitry Andreikin, 1221 games",Dmitry Andreikin,Andreikin.pgn,Andreikin,Dmitry,Andreikin,Dmitry,Dmitry Andreikin ,1990-02-05,,2007-01-01, Russia,,Dmitry+Andreikin+chess,https://en.wikipedia.org/w/index.php?search=Dmitry+Andreikin+chess,"['Dmitry Andreikin', 'Dmitry Bocharov', 'Dmitry Kokarev (chess player)', 'Vladimir Potkin', 'Chess World Cup 2013', 'Evgeny Alekseev (chess player)', 'Rauf Mamedov', 'Maxim Rodshtein', 'Daniil Dubov', 'Murtas Kazhgaleyev']",Dmitry Andreikin,https://en.wikipedia.org/wiki/Dmitry_Andreikin,"Dmitry Vladimirovich Andreikin (Russian: Дмитрий Владимирович Андрейкин, born 5 February 1990) is a Russian chess grandmaster, world junior champion in 2010 and Russian champion in 2012.

",Dmitry Andreikin
